entry_time,exit_time,avg_entry,exit_price,size_final,mfe,mae,total_ret,adds,tp1,tp2,exit_reason,days,year
2024-09-19 23:59:59.999000+00:00,2024-09-20 23:59:59.999000+00:00,62926.9,63175.7,0.33,0.01906656771587343,-0.009644524042976874,0.00130475202179034,0,False,False,trend_break,1,2024
2024-09-26 23:59:59.999000+00:00,2024-09-30 23:59:59.999000+00:00,65139.2,63309.1,0.33,0.020123059540184757,-0.035526994497936684,-0.009271421816663385,0,False,False,trend_break,4,2024
2024-10-15 23:59:59.999000+00:00,2024-11-03 23:59:59.999000+00:00,68463.96666666667,68463.96666666667,0.99,0.07589442426892187,-0.036967366275408586,0.0,2,False,False,stop,19,2024
2024-11-06 23:59:59.999000+00:00,2024-11-11 23:59:59.999000+00:00,78799.96666666667,81701.2,0.99,0.1395943906913665,-0.014949741928740237,0.03644952049472088,2,False,False,stop,5,2024
2024-11-11 23:59:59.999000+00:00,2024-11-26 23:59:59.999000+00:00,91143.40000000001,91143.40000000001,0.99,0.09344176319952943,-0.04022364753761176,0.0,2,False,False,stop,15,2024
2024-12-16 23:59:59.999000+00:00,2024-12-30 23:59:59.999000+00:00,106023.2,91908.62857142858,0.33,0.022104595975220572,-0.1368870209539044,-0.04393197499630806,0,False,False,stop,14,2024
2025-01-17 23:59:59.999000+00:00,2025-02-03 23:59:59.999000+00:00,105078.49999999999,93484.3253180534,0.66,0.05726025422303386,-0.13274076047907027,-0.07282322539896127,1,False,False,stop,17,2025
2025-04-22 23:59:59.999000+00:00,2025-06-05 23:59:59.999000+00:00,97685.43333333333,101674.57857142857,0.6599999999999999,0.1461227757260294,-0.019119981928142894,0.07327808293881707,2,True,False,stop,44,2025
2025-07-09 23:59:59.999000+00:00,2025-07-10 23:59:59.999000+00:00,111199.9,111199.9,0.33,0.0566556264888728,-0.006903783186855358,0.0,0,False,False,stop,1,2025
2025-07-10 23:59:59.999000+00:00,2025-07-15 23:59:59.999000+00:00,117765.23333333334,117765.23333333334,0.99,0.05619686892879545,-0.0177228310449292,0.0,2,False,False,stop,5,2025
2025-08-13 23:59:59.999000+00:00,2025-08-18 23:59:59.999000+00:00,123323.9,114895.3357142857,0.33,0.009906433383958921,-0.07069919131652498,-0.022553829503329997,0,False,False,stop,5,2025
2025-10-01 23:59:59.999000+00:00,2025-10-09 23:59:59.999000+00:00,120405.46666666667,120405.46666666667,0.99,0.048195762983076006,-0.0069155221080770815,0.0,2,False,False,stop,8,2025
