entry_time,exit_time,direction,setup,avg_entry,exit_price,total_pnl_ret,mfe,mae,tp1,tp2,exit_reason,hours,atr_pct_at_entry,year
2020-11-26 23:59:59.999000+00:00,2020-12-03 23:59:59.999000+00:00,long,bull_pullback_long_daily,17155.34,19434.3,0.13021557025115096,0.16325295797110403,-0.04141625872760309,True,False,time,168.0,0.06248075359792176,2020
2021-01-17 23:59:59.999000+00:00,2021-01-24 23:59:59.999000+00:00,long,bull_pullback_long_daily,35869.83,32275.63,-0.10020119972690142,0.058298854496940694,-0.19486654940935047,False,False,time,168.0,0.12890361382492513,2021
2021-02-23 23:59:59.999000+00:00,2021-03-02 23:59:59.999000+00:00,long,bull_pullback_long_daily,48930.0,48450.57,-0.009798283261802581,0.06550091968117717,-0.12115164520743914,False,False,time,168.0,0.08935489474759864,2021
2021-03-22 23:59:59.999000+00:00,2021-03-29 23:59:59.999000+00:00,long,bull_pullback_long_daily,54129.56,57677.64,0.06554791873423693,0.08055764724486959,-0.06793847945558759,False,False,time,168.0,0.07232404201010634,2021
2021-04-18 23:59:59.999000+00:00,2021-04-23 23:59:59.999000+00:00,long,bull_pullback_long_daily,56140.05,49698.20714285714,-0.11474594085938397,0.024806711073467054,-0.15307948603537044,False,False,stop,120.0,0.05737297042969198,2021
2021-06-03 23:59:59.999000+00:00,2021-06-10 23:59:59.999000+00:00,short,bear_rally_short_daily,39247.4,36669.66,0.11227563269583882,0.21092862202336973,-0.0012726957709299747,True,False,time,168.0,0.10273419385742746,2021
2021-06-30 23:59:59.999000+00:00,2021-07-07 23:59:59.999000+00:00,short,bear_rally_short_daily,35031.39,33845.64,0.03384821441569975,0.06734959703283251,-0.026380911519640057,False,False,time,168.0,0.08305377793214272,2021
2021-07-22 23:59:59.999000+00:00,2021-07-26 23:59:59.999000+00:00,short,bear_rally_short_daily,32268.11,35445.33,-0.09846315758809553,0.009213120942007475,-0.4927617390668371,False,False,stop,96.0,0.04923157879404776,2021
2021-08-26 23:59:59.999000+00:00,2021-09-02 23:59:59.999000+00:00,long,bull_pullback_long_daily,46853.06,49299.14,0.05220747588311205,0.07613035306552021,-0.010524179210493327,False,False,time,168.0,0.050512846515711654,2021
2021-09-14 23:59:59.999000+00:00,2021-09-21 23:59:59.999000+00:00,long,bull_pullback_long_daily,47087.18,41303.04857142857,-0.12283877328333173,0.03743736617907464,-0.16105445261321655,False,False,stop,168.0,0.06141938664166584,2021
2021-10-28 23:59:59.999000+00:00,2021-11-04 23:59:59.999000+00:00,long,bull_pullback_long_daily,60622.03,61431.86,0.01335867505591617,0.06148787825152018,-0.02015818341945987,False,False,time,168.0,0.05907208979969823,2021
2021-11-15 23:59:59.999000+00:00,2021-11-18 23:59:59.999000+00:00,long,bull_pullback_long_daily,63654.49,57938.11714285714,-0.0898031365445369,2.0108557935172145e-05,-0.11230959512832472,False,False,stop,72.0,0.04490156827226844,2021
2022-03-04 23:59:59.999000+00:00,2022-03-11 23:59:59.999000+00:00,short,bear_rally_short_daily,39127.7,38713.0,0.010598629615336376,0.05095367220664637,-0.08995673142045157,False,False,time,168.0,0.07341036072727433,2022
2022-05-25 23:59:59.999000+00:00,2022-06-01 23:59:59.999000+00:00,short,bear_rally_short_daily,29536.7,29796.9,-0.008809379517684804,0.053648511851357876,-0.09787146160539259,False,False,time,168.0,0.061416571829041755,2022
2022-06-27 23:59:59.999000+00:00,2022-07-04 23:59:59.999000+00:00,short,bear_rally_short_daily,20730.0,20226.6,0.024283646888567365,0.10453449107573565,-0.022575976845151953,False,False,time,168.0,0.08355833505616428,2022
2022-09-13 23:59:59.999000+00:00,2022-09-20 23:59:59.999000+00:00,short,bear_rally_short_daily,20162.5,18866.8,0.06426286422814635,0.09659020458772474,-0.01815251084934904,False,False,time,168.0,0.04928881409972545,2022
2022-09-30 23:59:59.999000+00:00,2022-10-07 23:59:59.999000+00:00,short,bear_rally_short_daily,19411.7,19520.9,-0.00562547329703224,0.02656645219120431,-0.05606412627436027,False,False,time,168.0,0.05292537122309886,2022
2022-10-21 23:59:59.999000+00:00,2022-10-25 23:59:59.999000+00:00,short,bear_rally_short_daily,19150.9,20226.457142857143,-0.05616222437886167,0.005268681889624062,-0.06600734169151311,False,False,stop,96.0,0.028081112189430865,2022
2022-11-23 23:59:59.999000+00:00,2022-11-30 23:59:59.999000+00:00,short,bear_rally_short_daily,16595.8,17153.3,-0.03359283674182625,0.036858723291435115,-0.03931717663505224,False,False,time,168.0,0.049242235126615554,2022
2023-08-31 23:59:59.999000+00:00,2023-09-07 23:59:59.999000+00:00,short,bear_rally_short_daily,25928.0,26240.7,-0.012060320888614653,0.023758099352051837,-0.020171243443381674,False,False,time,168.0,0.03182907612288975,2023
2023-09-21 23:59:59.999000+00:00,2023-09-28 23:59:59.999000+00:00,short,bear_rally_short_daily,26552.6,27011.8,-0.017293974977968286,0.022129659619020307,-0.02847555418301794,False,False,time,168.0,0.02673426653940803,2023
2024-03-16 23:59:59.999000+00:00,2024-03-23 23:59:59.999000+00:00,long,bull_pullback_long_daily,65351.0,64020.3,-0.020362350996924256,0.05651635017061704,-0.06963933222138911,False,False,time,168.0,0.06913666202506465,2024
2024-04-07 23:59:59.999000+00:00,2024-04-13 23:59:59.999000+00:00,long,bull_pullback_long_daily,69362.7,63682.75714285714,-0.08188756863765191,0.05085874684808978,-0.13999166699104848,False,False,stop,144.0,0.04094378431882594,2024
2024-06-11 23:59:59.999000+00:00,2024-06-18 23:59:59.999000+00:00,long,bull_pullback_long_daily,67320.7,65150.0,-0.03224416858410559,0.040214971026742194,-0.04918100970429592,False,False,time,168.0,0.0277315468029468,2024
2024-07-12 23:59:59.999000+00:00,2024-07-15 23:59:59.999000+00:00,short,bear_rally_short_daily,57870.0,62931.671428571426,-0.08746624206966348,0.002443407637808907,-0.12097287022636939,False,False,stop,72.0,0.04373312103483177,2024
2024-09-10 23:59:59.999000+00:00,2024-09-17 23:59:59.999000+00:00,short,bear_rally_short_daily,57609.1,60281.0,-0.04637982540952734,0.036346688283621885,-0.06484912973818376,False,False,time,168.0,0.04083283469352683,2024
2024-11-04 23:59:59.999000+00:00,2024-11-10 23:59:59.999000+00:00,long,bull_pullback_long_daily,67834.3,77259.92857142858,0.11176864239842707,0.2044024925443323,-0.005603359952118704,True,True,stop,144.0,0.03272585866273721,2024
2024-11-26 23:59:59.999000+00:00,2024-12-03 23:59:59.999000+00:00,long,bull_pullback_long_daily,92021.4,95913.3,0.04229342305159462,0.07272112791155111,-0.0017104716946274908,False,False,time,168.0,0.04239223547069332,2024
2024-12-18 23:59:59.999000+00:00,2024-12-25 23:59:59.999000+00:00,long,bull_pullback_long_daily,100181.1,99379.7,-0.007999512882170476,0.025709440203790845,-0.07894203597285315,False,False,time,168.0,0.04869552668688434,2024
2025-01-08 23:59:59.999000+00:00,2025-01-15 23:59:59.999000+00:00,long,bull_pullback_long_daily,95014.1,100460.0,0.05731675614461426,0.05941012965444063,-0.06425467377999693,False,False,time,168.0,0.036253115515035586,2025
2025-01-29 23:59:59.999000+00:00,2025-02-03 23:59:59.999000+00:00,long,bull_pullback_long_daily,103698.2,94166.8142857143,-0.09191466885910943,0.026536622622186336,-0.12119689637814345,False,False,stop,120.0,0.04595733442955477,2025
2025-03-17 23:59:59.999000+00:00,2025-03-24 23:59:59.999000+00:00,short,bear_rally_short_daily,83962.9,87463.4,-0.04169103258701165,0.033936417155672256,-0.05703828714825246,False,False,time,168.0,0.05567254789232593,2025
2025-04-04 23:59:59.999000+00:00,2025-04-11 23:59:59.999000+00:00,short,bear_rally_short_daily,83861.3,83861.3,0.022721701530639606,0.11214111872818573,-0.005231256849106764,True,False,stop,168.0,0.03408255229595941,2025
2025-05-29 23:59:59.999000+00:00,2025-06-05 23:59:59.999000+00:00,long,bull_pullback_long_daily,105539.9,101458.6,-0.03867068284127603,0.011702683061098276,-0.04960019859787614,False,False,time,168.0,0.02966217380481561,2025
2025-07-25 23:59:59.999000+00:00,2025-08-01 23:59:59.999000+00:00,long,bull_pullback_long_daily,117583.5,113244.8,-0.036898884622417236,0.018952489082226673,-0.0418723715487292,False,False,time,168.0,0.026498251394601643,2025
2025-08-14 23:59:59.999000+00:00,2025-08-21 23:59:59.999000+00:00,long,bull_pullback_long_daily,118242.2,112050.94285714286,-0.05236080809437865,0.007965007416979749,-0.05326524709452291,False,False,stop,168.0,0.026180404047189344,2025
2025-11-28 23:59:59.999000+00:00,2025-12-05 23:59:59.999000+00:00,short,bear_rally_short_daily,90847.8,89288.5,0.01716387188242316,0.07773220705399583,-0.03673396603990407,False,False,time,168.0,0.04328125879610891,2025
2025-12-21 23:59:59.999000+00:00,2025-12-28 23:59:59.999000+00:00,short,bear_rally_short_daily,88621.3,87920.5,0.007907805459861262,0.02557285889509636,-0.022316305448013028,False,False,time,168.0,0.03780443946803501,2025
2026-02-25 23:59:59.999000+00:00,2026-03-04 23:59:59.999000+00:00,short,bear_rally_short_daily,67952.5,73406.67142857143,-0.08026447045467681,0.07318347375004598,-0.08968029138000809,False,False,stop,168.0,0.04013223522733841,2026
